Nume,Categorie,Vanzare_ok,Achizitie_ok,Unitate,Cost,Tip_produs
TROLLER H SPIN 68 CM,Obiecte de inventar,False,True,Units,350,product
RUCSAC LAPTOP 14 INCI NEGRU,Obiecte de inventar,False,True,Units,569,product
CASTI BT INK WIRELESS,Obiecte de inventar,False,True,Units,179.39,product
ZTE BLADE L110 NEGRU,Obiecte de inventar,False,True,Units,233.22,product
SCAUN BIROU ERGONOMIC HARRIS,Obiecte de inventar,False,True,Units,257.6,product
LAPTOP LENOVO 10.1 ATOM X5,Obiecte de inventar,False,True,Units,1793.92,product
CASTI BANDA CAP FULL 30 MM CU MICROFON,Obiecte de inventar,False,True,Units,119.99,product
TABLETA HUAWEI T3 WIFI 10 16 GB,Obiecte de inventar,False,True,Units,599.9,product
TABLETA ARCHOS 3G 10.1,Obiecte de inventar,False,True,Units,499.99,product
FRIGIDER MINIBAR 45 L,Obiecte de inventar,False,True,Units,309.99,product
GEANTA BUSINESS,Obiecte de inventar,False,True,Units,809.1,product
CASTI SKULLCANDY WIRELESS,Obiecte de inventar,False,True,Units,229,product
LAPTOP ASUS I3 8 GB 256 SSD,Obiecte de inventar,False,True,Units,1749.99,product
BOXA JBL FLIP 5 ROSU,Obiecte de inventar,False,True,Units,429.59,product
FOTOLIU POUF FRIX,Obiecte de inventar,False,True,Units,284.5,product
MULTIFUNCTIONAL HP LASERJET MFP 130FN,Obiecte de inventar,False,True,Units,701.84,product
EXPRESSOR NESPRESSO ESSENZA,Obiecte de inventar,False,True,Units,385.99,product
BATERIE EXTERNA,Obiecte de inventar,False,True,Units,179,product
STICK USB,Obiecte de inventar,False,True,Units,69,product
MONITOR LED SAMSUNG 24 NEGRU,Obiecte de inventar,False,True,Units,503.36,product
DOCKINK STATION LENOVO THINKPAD,Obiecte de inventar,False,True,Units,798.31,product
TELEFON SAMSUNG GALAXY A20E 4GB RAM,Obiecte de inventar,False,True,Units,594.08,product
MONITOR LED DELL 24 SE2417HGX,Obiecte de inventar,False,True,Units,453.77,product
BIROU TEMPRA KTSS,Obiecte de inventar,False,True,Units,284.315,product
RAFT BETTY,Obiecte de inventar,False,True,Units,234.45,product
SCAUN BIROU ZEGA,Obiecte de inventar,False,True,Units,83.19,product
SCAUN BIROU OFF 907 NEGRU,Obiecte de inventar,False,True,Units,235,product
TABLA MAGNETICA  90*120 ACCESORII,Obiecte de inventar,False,True,Units,133.6,product
PRELUNGITOR 3P 3M,Obiecte de inventar,False,True,Units,36.13,product
PRELUNGITOR 3P 5M,Obiecte de inventar,False,True,Units,57.13,product
ROUTER WIRELESS TP LINK,Obiecte de inventar,False,True,Units,184.03,product
CUIER HAINE,Obiecte de inventar,False,True,Units,113.45,product
NOPTIERA  2 SERTARE,Obiecte de inventar,False,True,Units,147.06,product
BIROU KARUP 40*100,Obiecte de inventar,False,True,Units,105.04,product
COMODA CU SERTARE,Obiecte de inventar,False,True,Units,252.1,product
MASA LEMN MASIV,Obiecte de inventar,False,True,Units,672.27,product
DULAP TIP 1,Obiecte de inventar,False,True,Units,294.12,product
DULAP TIP 2,Obiecte de inventar,False,True,Units,252.1,product
SCAUN ERGONOMIC,Obiecte de inventar,False,True,Units,193.276666666667,product
PRELUNGITOR 3P 3M,Obiecte de inventar,False,True,Units,36.13,product
PRELUNGITOR 3P 5M,Obiecte de inventar,False,True,Units,38.64,product
CUPTOR MICROUNDE HYUNDAI HY20MX81,Obiecte de inventar,False,True,Units,205.04,product
VEIOZA BIROU,Obiecte de inventar,False,True,Units,66.9325,product
CHIUVETA GRANIT,Obiecte de inventar,False,True,Units,444.54,product
CORP MASCA CHIUVETA,Obiecte de inventar,False,True,Units,284.87,product
CORP INF 2 SERTARE,Obiecte de inventar,False,True,Units,293.28,product
PRELUNGITOR 5P 1.5M,Obiecte de inventar,False,True,Units,23.52,product
MONITOR LED HP 27 ULTRA SLIM,Obiecte de inventar,False,True,Units,714.28,product
FRIGIDER 2 USI ARCTIC,Obiecte de inventar,False,True,Units,731.92,product
COLT BIROU TEMPRA,Obiecte de inventar,False,True,Units,210.085,product
MONITOR LED PHILIPS 23.8,Obiecte de inventar,False,True,Units,415.91,product
TASTATURA BLUETOOTH,Obiecte de inventar,False,True,Units,75.62,product
SCAUN OFF 907 NEGRU,Obiecte de inventar,False,True,Units,235,product
STINGATOR P6,Obiecte de inventar,False,True,Units,82,product
STINGATOR G2,Obiecte de inventar,False,True,Units,108,product
TRUSA MEDICALA,Obiecte de inventar,False,True,Units,147,product
CUPTOR MICROUNDE SAMSUNG,Obiecte de inventar,False,True,Units,335.29,product
CASCA BLACKWIRE USB,Obiecte de inventar,False,True,Units,193,product
STAMPILA,Obiecte de inventar,False,True,Units,200,product
SUBLER ELECTRON,Obiecte de inventar,False,True,Units,100.84,product
APARAT DE CURATAT CU ABURI KOENIG NV6200,Obiecte de inventar,False,True,Units,421,product
ASPIRATOR HOOVER F SAC,Obiecte de inventar,False,True,Units,241.82,product
SCARA SLIM 3 TREPTE,Obiecte de inventar,False,True,Units,184.03,product
MASINA GAURIT 20 V,Obiecte de inventar,False,True,Units,142.02,product
UNIVERSAL IMPACT 700 W,Obiecte de inventar,False,True,Units,250.42,product
UNIVERSAL DRILL 18V,Obiecte de inventar,False,True,Units,334.45,product
POLIZOR UNGHIULAR,Obiecte de inventar,False,True,Units,199.76,product
MONITOR FULL HD DELL,Obiecte de inventar,False,True,Units,635.64,product
TABLA MAGNETICA 120*240,Obiecte de inventar,False,True,Units,419.33,product
CASCA CALL CENTER PLANTRONICS,Obiecte de inventar,False,True,Units,180.953333333333,product
SAMSUNG GALAXY A52 128 GB,Obiecte de inventar,False,True,Units,1310.32,product
SAMSUNG GALAXY S20FE 5G 128 GB,Obiecte de inventar,False,True,Units,1612.74,product
APPLE 12 MINI 64 GB 5G,Obiecte de inventar,False,True,Units,1915.11,product
COS GUNOI 15 L,Obiecte de inventar,False,True,Units,42.02,product
RAFT METALIC 5 POL,Obiecte de inventar,False,True,Units,163.865,product
LAMPA GAZ PIEZO,Obiecte de inventar,False,True,Units,75.21,product
CLESTE BANDA PES H 22R,Obiecte de inventar,False,True,Units,369.5,product
BUCLE METALICE 16 MM,Obiecte de inventar,False,True,Units,118.24,product
TRANSPALETA MANUALA LIFTTEX BASIC,Obiecte de inventar,False,True,Units,903.36,product
BATERIE BTQR50 AKKU NIETER LI ION,Obiecte de inventar,False,True,Units,2159.15,product
MANDRIN M4X55,Obiecte de inventar,False,True,Units,71.5,product
MANDRIN M5X55,Obiecte de inventar,False,True,Units,71.5,product
MANDRIN M8X60,Obiecte de inventar,False,True,Units,71.5,product
SCARA CU 2 FETE PROFI 4X2 TREPTE 2.8 M,Obiecte de inventar,False,True,Units,156.84,product
RAFT IND PROFESIONAL 2160*1400*700,Obiecte de inventar,False,True,Units,777.924,product
LAMINATOR SI TRIMMER OLYMPIA,Obiecte de inventar,False,True,Units,142.86,product
CHEIE FIXA SIMPLA 10,Obiecte de inventar,False,True,Units,3.77,product
CHEIE FIXA SIMPLA 14,Obiecte de inventar,False,True,Units,5.63,product
CHEIE FIXA SIMPLA 30,Obiecte de inventar,False,True,Units,18.64,product
CHEIE FIXA SIMPLA 36,Obiecte de inventar,False,True,Units,22.51,product
CHEIE FIXA AUTO 21X23,Obiecte de inventar,False,True,Units,16.27,product
CHEIE FIXA AUTO 27X29,Obiecte de inventar,False,True,Units,24.51,product
SCAUN PT ATELIER REGLABIL HBM,Obiecte de inventar,False,True,Units,252.91,product
RAFT IND PROFESIONAL 2160*1400*700,Obiecte de inventar,False,True,Units,781.488,product
PUBELA 120 L,Obiecte de inventar,False,True,Units,91.18,product
BANC LUCRU,Obiecte de inventar,False,True,Units,911.36,product
